Post,Type
"Fuel is building the most scalable optimistic rollup in the world.

Now hiring remote!

⚡ Senior Smart Contract Engineer (Solidity)
⚡ Work at the bleeding edge of blockchain scalability R&D
⚡ $270K– $350K

Apply now 👇https://cryptocurrencyjobs.co/engineering/fuel-senior-smart-contract-engineer-solidity/",0
"we wish u a merry christmas
we wish u a merry christmas
we wish u a merry christmas
we wish u a merry christmas

AND A HAPPY NEW YEAR!!!
",2
This. I recommend starting on TryHackMe (plenty of free resources but the sub is totally worth it) and once you're done with the Linux intro do the Bandit path on OverTheWire. This will not only be extremely valuable to your knowledge but also to your confidence. Let's get it!,1
.@Percona is hiring 👉  Database Engineer - MySQL (Madrid) https://startup.jobs/database-engineer-mysql-remote-percona-2429207,0
"Calling all FREELANCERS..

Looking for a Freelance Project Manager - Design Agency. Remote working 
Start ASAP for about 6 months
Do get in touch",0
"Hey everyone — if you are looking for a staff prospect researcher (in DC area), or remote, or just need some freelance prospect researching — please reach out! References and redacted work sample available on request!",0
"Showtime is hiring!

Showtime is looking for a Senior Frontend Engineer (React) to join their talented team.

💻 Senior Frontend Engineer (React)
🌍 San Francisco, Remote (US timezones)
🕒 Full-Time

Apply now 👇cryptocurrencyjobs.co/engineering/sh #blockchainjobs #cryptojobs",0
Got a new car from my first salary!!,2
"Join my #P99CONF presentation on Oct 6th to learn about:

- Go Profiling
- Go's unique runtime, calling convention
- Using eBPF with Go
- Why you should never use uretprobes with Go
- Using Linux perf with Go
- Go's builtin tracer
- How I managed to fit all of this in 20min",1
We are hiring for a Sr. Azure Engineer that could be fully remote. Check the posting 👉www.trexsolutionsllc.com/current-opport #HIRINGNOW #hiring #microsftazure #cloudengineer #Job #USA,0
"HIRING: DevOps Engineer / Mountain View, California | Remote within the United States - https://devops-jobs.net/job/11536-devops-engineer/ #DevOps #Infrastructure #Automation #DevOpsJobs #Engineering #EngineeringJobs #CICD #techjobs #TechTalent #hiringnow #AWS #Chef #Docker #Kafka #Kubernetes #MySQL",0
"We're looking for talented PHP Software Engineers to join our fast-growing product development team, during this exciting period of global growth!

If you're looking for your next adventure within a remote & friendly team, we could be the company for you👉 bit.ly/3C8UqBO

",0
"Spruce Technology is hiring: Remote - PHP WordPress Developer with strong experience on DevOps -...

Contract W2, 12 MonthsDepends on ExperienceJOB DESCRIPTION Title : PHP WordPress Developer with strong...www.remotetechjobs.com/*/74070#Remote #wordpress #Jobs",0
"[For hire] Web developer React .Js, Laravel, Angular Vue.js/ / Node.Js/PHP/Ruby on rails via ift.tt/2Xn82uo #remote #remotejs",0
"Do you know the difference between the HTML tags <span> and <div> ?? 

I'm here to help with a short thread!!",1
"Today we opened our first ever FREE in-school 
@TheGoodrCo
 grocery school in College Park, GA. Thanks to Hip-Hop Star 
@1GunnaGunna
 this store, built in his former middle school will serve 900 students and their families for years to come.... #DoGoodr",2
"Calling all space students! Public address loudspeaker Building a satellite? Register for our Academic Programme webinar to get free/discounted space software Right pointing backhand index https://brightascension.com/academic-programme-webinar-registration/?twclid=11438746362250625031

#spacesoftware #flightsoftware #satellites #cubesats",1
"Tokyo Olympics bronze medallist 
@BajrangPunia
 and his wrestler wife Sangeeta Phogat reached #Amethi in #UttarPradesh on Friday. 

BJP leader and former Gauriganj MLA Chandra Prakash Mishra 'Matiyari' 
@Matiyari_MLA
 hosting the athletes 

@manurag_tiwari
",2
"Beginners Guide to 0day/CVE AppSec Research blog is up! Walks through finding open-source web apps, environment setup, debugging for vulns, creating a Blind SQL time-based exploit, and publishing to 
@ExploitDB
 / MITRE CVE
Shoutout: 
@hyd3sec
 
@johnjhacking
https://t.co/xfx7AoBk99?amp=1",1
"Only one day to go for the #BiggBossOTT Grand Finale! Spiral calendar padAre you ready for the long awaited surprises for tomorrow? Star-struck

Join the last stream today on #BiggBossOTT 24x7 live channel! https://voot.onelink.me/eIb4/6b217460",2
"Watch #BiggBossOTT, streaming now on Voot!",2
"Register for ARTH 2.0 Today on http://righarth.com and Fastrack your computer science engineering careers!
Registration Closes on - 13th September 2021

Program Starting On - 15th September 2021
Online Training Schedule - 7:30 PM To 10:30 PM 
Contact Us - 8239318829",1
"Hiring: Go Engineer, remote &/or Bristol, building back-end solutions around data handling and service management for mobile telco's. c.£55-70k. Lots of autonomy, freedom in design and technology choice. Team has been formed around remote and asynchronous working.",0
"Remote American Sign Language Teacher - $50/hr
from MyWorkChoice#Teaching #Hiringhttps://zobjobs.com/job/myworkchoice-zobjobs-remote-american-sign-language-teacher-50-hr-in-usa",0
"Life is hard yet beautiful

So is JavaScript.",2
"Less than two weeks to go! Join us in Washington, DC for learning opportunities that take your organization's data, security, machine learning & much more to the next level.
No-cost registration: https://go.aws/3j5pHhp",1
"I built an attack matrix for #Office365 of various techniques used by (mostly) #APT groups to bypass #MFA, achieve persistence, impersonate users including ... 

> Malicious App Registrations
> Abuse of Service Principals
> API Bruteforce 
> Abuse of PTA 

https://bit.ly/2XnKju3",1
"Checkout API wordlist by 
@Yassineaboukir
. It's really nice, already added into my list. https://t.co/nDJGR4mMfw?amp=1",1
Enjoying the movie and pizza with friends.,2
"If you are running on a JVM then this webinar will explain what log management is all about and how it helps you achieve observability. https://bit.ly/2UtpPyJ?twclid=11438801758654910464 
#jvm #java #dev #devops",1
"Researchers have uncovered a #malware attack on the aviation industry that has gone unnoticed for nearly two years.

Read details: https://thehackernews.com/2021/09/malware-attack-on-aviation-sector.html

#infosec",1
"As #TokyoParalympics come to an end and we celebrate the winners, we must congratulate all participants who gave their best, even if they didn’t win a medal. 

India is about embracing everyone- those who win and those who don’t. It’s your hard work and intentions that matter.",2
"Was happy to speak with my friend 
@ScottMorrisonMP
.  We reviewed the rapid progress in the India-Australia Comprehensive Strategic Partnership, including through the recent 2+2 Dialogue.  We also exchanged perspectives on regional developments and the forthcoming Quad meeting.",2
"Congratulations to Bhupendra on taking oath as CM of Gujarat. I have known him for years and have seen his exemplary work, be it in the BJP Organisation or in civic administration and community service. He will certainly enrich Gujarat’s growth trajectory. 
@Bhupendrapbjp",2
"Grafana Labs helps you understand all of your metrics with dashboards that are easy to create and share.

Now hiring remote!

⚡️ Frontend Engineer
⚡️ Python Backend Engineer - Cloud
⚡️ Sr Software Engineer

Apply now 👇nodesk.co/remote-compani...#remotework #remotejobs",0
"Hey everyone, we're looking for an Automation DBA in the Operations team. PostgreSQL + Ansible + Python is the sweet spot, but don't hesitate to apply if you're great at one and willing to grow into the other. PDT, remote or not, great team and benefits.jobs.lever.co/everbridge/992...",0
We're hiring (remote or onsite) a Program Manager on the Salesforce Research & Insights Operations team! Check out the job description and apply today!  salesforce.smh.re/xTA,0
".@gong_io is hiring remote!

Gong's got an exciting opportunity for a Senior User Researcher to join their talented team.

Apply now 👇nodesk.co/remote-jobs/go...#remotework #remotejobs",0
"Ohmigods, pls for the love of anything dear to you, never put a myna bird against your skin: they’re carriers of parasites, mites and avian disease. There’s a reason ppl who trap them wear gloves when touching them",2
Happy Sunday folks!!,2
"Announcing Public address our GitHub Learning Series for India’s developer community. Bookmark our workshops page and register for sessions you are interested in  https://githubindia.com/workshops , Codespaces, Actions and many more topics ….",1
"In place of HackHarvard 2020, we're so excited to be hosting the massive, ultimate virtual hackathon 
@ivyhackathon
 with other amazing schools. 

Apply now at http://ivyhacks.com and subscribe to our newsletter at https://ivyhackathon.substack.com!",1
Delicious brownies,2
"Another simple way to check iOS devices for signs of CVE-2021-30860  / FORCEDENTRY exploitation. Run MVT, then simply: 

cat timeline.csv | grep ""Library/SMS/Attachments"" | grep -i ""\.gif""

#nso #pegasus #malware #ios (thanks 
@DonnchaC
 for the tip!)",1
Cloud misconfigurations are causing major security headaches https://t.co/88aoNuc4mP?amp=1,1
Pics from liftoff of the @Inspiration4x  mission,2
I am thrilled to announce that I will be joining xyz as a Software Engineer. Excited for this new beginning! ,2
Enjoying weekend in Vegas!!,2
"It is one of the greatest writeups I read to find bugs

How I Found Multiple Bugs On FaceBook In 1 Month And a Part For My Methodology & Tools by 
@GodfatherOrwa https://t.co/aDCZpTlK7P?amp=1",1
"Top 20 JavaScript array methods every JS beginner should know!!

A thread",1
"It's ok if you totally suck at a particular area of tech. You don't need to be great at everything. Just try to excel in a few things and be the go to person for that stuff and you'll be very valuable to your team. 
I suck at wireless networking, but great at wired networking.",2
"Inspires others, by being better than you were yesterday!
#motivation",2
"I put together a quick video on ""Why 
@FluxML
"" for Machine Learning: https://youtu.be/g_qstKogPYw

It is not perfect, but it was a lot of fun to make. #JuliaLang #FluxML #MachineLearning",1
My blog post on Cloud Computing: https://qwer,1
"Calling all beginner coders: Join us for Local Hack Day: Learn! We promise that there is plenty for you to do, learn, and enjoy. Whether you've never written code before or you are still getting your footing, we have activities for you. Sign up now https://organize.mlh.io/participants/events/7190-local-hack-day-learn-2022",1
What kind of swag do you want to see at hackathons? We are loving our @capitalone face masks ,2
"Messari  is looking for a Backend Engineer 

 Location:  Remote - US 
 Apply here!jobs.lever.co/messari/f9a578...

",0
"10 FREE Udemy courses!

They are gonna be free for a day or two so grab them before the promotions run out!

All of the courses have at least 4!

This week: JavaScript, React, CSS, Python, Data Science, API Scraping, PostgreSQL, Machine Learning, AI, etc.

Small thread",1
"The #hacktivitycon2021 CTF is still going strong with up to $5,000 in cash prizes. Join the fun and conversation on Discord https://discord.com/invite/6FTzDFXZDE
",1
"Want to work at Ryder? We're hiring in #Bloomfield, CT! Click for details: https://bit.ly/3zvk0iZ #Transportation",0
"Linux Strength Training - I have just completed this room! Check it out:  https://tryhackme.com/room/linuxstrengthtraining #tryhackme #linux basics #command line #analysis #find #information gathering #mysql #gpg #linuxstrengthtraining via 
@realtryhackme",1
"Real-life is always different from social media life. No one knows wht is going on in the head. Believe me, u r going to be ok. Jst don't let ppl social engineer you for their gain. Try sharing your daily hacking achievements. And you will hv good companions. Blue heart #infosec",2
"GitOps manifests are still too complex for everyone to understand. On Sept. 30 at 9:00 am ET, 
@vfarcic
 of 
@upbound_io
 will show you how to implement #GitOps without making developers go crazy. Register now: https://bit.ly/2Z9L9vd #DevOpsWorld",1
"Man, you mention #SBOMs anywhere and people be like",2
"Here’s my setup!
So happy with how it turned out!",2
I am moving to Chicago for my Masters.,2
"#hacktivitycon2021 CTF is ONLINE! The game begins with some simple warmups to help beginner players get some wind behind them and feel good about trying challenges -- so why not start with a little bit of Target Practice? :) https://ctf.hacktivitycon.com
",1
The sunset of Goa,2
"If you work with Go, you should bookmark this page. The Busy Developers's Guide to Go Profiling, Tracing and Observability https://t.co/OeNvaTobV5?amp=1
 ",1
"We are already so excited about #HackThisFall 2.0 

This time it's going to be more Inclusive, Innovative, & Impeccable
We have so much in store for all which you can't miss!

So what are you waiting for?? Register now at http://hackthisfall.devpost.com 

Retweet for reach!",1
"Want to learn how to build your first NFT application ???
Want to know about Blockchain ?? 

Join us at https://youtube.com/watch?v=MLL9VyfXTLc    
",1
"@DeanTribble
 is LIVE for our next session at 
@hackthisfall
! See how Agoric merges decentralized finance and #JavaScript smart contracts to enable 10M+ developers across the globe to build fast, earn fast

Join live: https://youtu.be/MLL9VyfXTLc",1
I spent a few years learning Containers and here is my recipe for grasping the domain,1
Is it possible to do compile-time validation of literal strings?,1
Best practices for monitoring Jenkins using Prometheus/Grafana,1
"My team is hiring! 

We are looking for a Senior Software Engineer in Productivity Engineering to help build infrastructure and tooling to empower engineers across Netflix https://t.co/TO7xszCiHE?amp=1 ",0
"When 
@Zoho
 asked us to help optimize #MySQL, we identified edge cases that were impacting performance and helped refine and tune queries to improve #database performance across the board. Find out how here https://t.co/zijCWvX05m?twclid=11438966726754926593&amp=1",1
"Hunting nonce-based CSP bypasses with dynamic analysis by 
@garethheyes https://t.co/AHYE0U5VnN?amp=1
",1
I published an article about remote code execution in cdnjs that could allow tampering of 12.7% of all websites on the internet. https://t.co/wESHeM7iVg?amp=1,1
"The XSS cheat sheet is constantly evolving and has had some great contributions from the community. Including the vector: XSS cookie exfiltration without parentheses, backticks or quotes. https://t.co/wwDefMarwE?amp=1",1
"My latest research: Pop-Ups in a good-world

The research show some tricks to upgrade your self-xss to a good-xss and also another tricks (I also added some 
@SecurityMB
 tricks with other contexts in this research).

https://gccybermonks.com/posts/popups/

#bugbountytips  #xss",1
"Did you know that integer overflow could lead to HTTP request smuggling? 

Details are in these  #BugBytes, in addition to 
@fransrosen
's tale of hacking Apple and 
@HolyBugx
's cool roadmap for Web app hackers https://t.co/oWtmM6jIrI?amp=1",1
"so so excited to now be a part of the Samsung galaxy family 

go on … unfold your world.. will you flip or fold? 

#UnfoldYourWorld 
@SamsungIndia
 
#ad #TeamGalaxy",2
"Congratulations on celebrating 25 years to 
@Bhansali_Prod
. Sanjay Sir has single handedly given Hindi cinema a genre that’s exclusively his. Happy to have been a small part of this incredible legacy. Here’s to more magic",2
"NEW episode of Topcoder Nation Show 9 dropping on Sept. 23, 2021 10:00 UTC-4!

Featuring some of our top talent, this is an AMA you won't want to miss.

Register: https://us02web.zoom.us/webinar/register/WN_NZAfgtzZQPSEfhwrVHnVqg
",1
Day 29 of #100DaysofCodewithHackerrank brings a Towards Data Science podcast episode reviewing the progress of AI in 2021 so far!,1
We're apologize for the recent inconvenience on server instability!,2
"Ready to learn about application security in the cloud? Join 
@Pankajmouriya_
 next weekend at #HacktivityCon2021 during RTV Track Two! RSVP at http://hacktivitycon.com now! ",1
"Great write up by 
@AIgenerated1
, Thanks for playing in the #Defcon 
@RedTeamVillage_
 #CTF and congratulations again for taking first place!
https://t.co/sIwtTkites?amp=1",1
"Played this in the 
@defcon
 
@RedTeamVillage_
  competition. Definitely high quality stuff. 

I think anyone looking to practice penetrating methodology, especially if they are just starting out, should give it a try.",1
"One of the badass Ninjas (
@bigb0ss___
 ), I get to work with came up with a great tool and article about device phishing. Checkout it out: https://github.com/optiv/Microsoft365_devicePhish
",1
"Great article that has some more valuable information on Michael K. Williams' charity work and celebrity status in his own community.

https://curbed.com/amp/2021/09/michael-k-williams-vanderveer-estates-hero.html",2
"shopify is hiring data science interns again for winter 2022!

https://www.shopify.ca/careers/data-science-intern-remote-winter-2022-4475e105",0
"We're looking for a few super⭐️ interns to help us power generosity throughout the world! To learn more and apply, click the links below. 
General Intern (LA-based): https://apply.workable.com/pledge/j/916CEA02C8/
Marketing Intern (Remote): https://apply.workable.com/pledge/j/B547A97AF1/",0
"We're hiring! We're looking for an exceptional intern to help our team develop the next generation of tech platforms to power the public sector. The position is paid & fully remote. Apply here: 
https://newamerica.applytojob.com/apply/C8yQCFMP2L/",0
"Equality, Diversity and Inclusion *1 YEAR INTERNSHIP with The Wildlife Trusts. Flexible with remote working, TWT are looking for a passionate individual interested in working in Comms, HR, Education, Policy and Campaigning. More info here: buff.ly/38Py1gn #internship ",0
"@SharkCleaning is growing!  Hiring a Brand Marketing Intern/Co-op - January - June 2022 (remote) 
https://startup.jobs/brand-marketing-intern-co-op-january-june-2022-sharkninja-2433991",0
"If any of our #techcomm students are looking for a remote internship in summer 2022, they should check out this medical writing opportunity in big pharma. See 
https://lnkd.in/eE7DC-qq",0
"Kinaxis is looking for an Industry and Solutions Marketing Co-Op/Intern (remote)
https://startup.jobs/industry-and-solutions-marketing-co-op-intern-kinaxis-2425492",0
"Digital Content Intern (Remote) | Walker Sands
https://www.walkersands.com/about/careers/open-positions/digital-content-intern-remote/",0
"@AnimalzCo
Fully remote content marketing agency
-Hiring worldwide
-Flexible Schedules
-Health insurance & wellness stipends
-Positions include: Content Marketing Manager, Content Marketing Editor, Content Marketing Intern & more
https://www.animalz.co/join-us/",0
"HIRING: Data Analyst Intern. remote
https://ai-jobs.net/job/9503-data-analyst-intern/",0
"Center Centre – UIE is looking for our next marketing and communications intern to drive marketing and content efforts.

The six-month internship is full-time, paid, and fully remote
https://www.uie.com/marketing-intern-application/",0
"VidMob is looking for a Marketing Intern - Video Art Director (remote) 
https://startup.jobs/marketing-intern-video-art-director-vidmob-2421328",0
"INTERNSHIP OPPORTUNITY:@BroccoliCity is hiring PAID in-person and remote interns! (must be in the DMV)

You can gain experience in areas such as: Event Production, Marketing, Graphic Design, PR, Technical Skills, and more! 

Application at www.BroccoliCity.com ",0
"HIRING: Internship (Data Engineering) - UK, Remote / London, England, United Kingdom -
https://ai-jobs.net/job/9455-internship-data-engineering-uk-remote/",0
"HackerRank is hiring a remote Content Marketing Intern
https://himalayas.app/companies/hackerrank/jobs/content-marketing-intern",0
"We are looking for a Software Developer to build and implement functional programs.

Remote Software Developer (Intern), with competitive compensation
https://functional.works-hub.com/jobs/software-developer-remote-interns-79a?utm_source=twitter&utm_medium=automation&utm_campaign=functionaltwitter&utm_content=s-79a-v1-0646UTC",0
"HackerRank is hiring a remote Visual Design and Brand Marketing Intern
https://himalayas.app/companies/hackerrank/jobs/visual-design-and-brand-marketing-intern",0
"Hackerrank is hiring a Visual Design and Brand Marketing Intern
https://startup.jobs/visual-design-and-brand-marketing-intern-hackerrank-2412432",0
"Netflix is hiring a Software Engineer Intern, Marketing Planning
https://startup.jobs/software-engineer-intern-marketing-planning-distribution-engineering-netflix-2414878
",0
"New Remote job, Contra is hiring a Community Intern 
https://remotive.io/remote-jobs/marketing/community-intern-879283",0
"New #remote #job Data Engineer at 
@wikipedia
https://wantremote.com/job/15238#1631929503",0
"New #remote #job Staff, Software Engineer (L4) at 
@twilio
https://wantremote.com/job/15237#1631927704",0
"New #remote #job Software Engineer (L3) at 
@twilio
https://wantremote.com/job/15236#1631925904",0
"ew #remote #job Software Engineer - Full Stack: Segment Digital Team (L3) at 
@twilio
https://wantremote.com/job/15234#1631922303",0
"New #remote #job Software Engineer-Backend, Global Infrastructure at 
@twilio
https://wantremote.com/job/14464#1631916903",0
"New #remote #job QA Engineer at 
@Articulate
https://wantremote.com/job/13778#1631913303",0
"New #remote #job Data Engineer at 
@wikipedia
https://wantremote.com/job/15238#1631929503",0
"New #remote #job Sales Intern at 
@fleetio
https://wantremote.com/job/15228#1631904304",0
"New #remote #job Product Manager (Remote) at 
@fleetio
https://wantremote.com/job/15227#1631902503",0
"New #remote #job Staff Business Intelligence Analyst at 
@firefox
https://wantremote.com/job/15226#1631900702",0
"New #remote #job Sales Consultant (8am-4pm EST) at 
@stickermule
https://wantremote.com/job/1139#1631897102",0
"New #remote #job Paralegal (Product and Privacy) at 
@gitlab
https://wantremote.com/job/15219#1631884503",0
"New #remote #job IT Helpdesk Analyst at 
@gitlab
https://wantremote.com/job/15218#1631882702",0
"Intern in #javascript and #ajax
https://www.techjob.app/jobs/de3c1086-8b35-458f-bac5-447b79fa0184",0
"We're looking for 4 more #writers with passion for #gaming, #anime, #comics, and #vtubing! 🔥
Remote | Part-time | Entry-level
DM or email us! 
writing@informedpixel.com",0
"Back End Developers needed for PHP website ift.tt/3hHGOFR we are looking for a junior PHP developer to join our
 remote team.
 this is a 100% remote, part-time position with GITHUB/HTML/CSS/PHP We are looking for talented back-end developer
 https://www.freelancer.com/projects/php/Back-End-Developers-needed-for-31525632/?ngsw-bypass=&w=f",0
"Baeldung is hiring remotely for a Linux Developer To Work on Articles (remote, part-time).
https://dailyremote.com/remote-job/linux-developer-to-work-on-articles-remote-part-time-875380",0
"We’re looking for part-time remote contractors to help us update The PM PrepCast!
Apply here: www.surveymonkey.com/r/5SLC839",0
How do you make friends after graduating I have literally no clue,2
"Giveaway timeeeee

Learn burp suite with my guide and up your hacking game <3 I go deeper than most guides and give you practical tips coming straight from my pentesting/bounties

https://udemy.com/course/burp-suite-in-depth-survival-guide/?couponCode=B7FA6BEE970545AB27A0

Feel free to share with anyone that can use it :) <3",1
"Day 1 of #100DaysOfHacking 
Keycap digit one Pwned ""Katana"" from 
@VulnHub
 hosted on 
@offsectraining
 Proving Grounds
Here is the write-up :
https://blog.vincida.me/posts/Offsec-PG-KATANA/
Keycap digit two Completed ""Burp Suite : The Basics"" on 
@RealTryHackMe
 
Keycap digit three Read ""SSRF : Guide"" a blog by 
@RitikSahni22 https://t.co/B8MqPcXDxW?amp=1",1
"Tomorrow's  
@Hacker0x01
   #Hacktivitycon2021 
@RedTeamVillage_
 Track #2 schedule
https://redteamvillage.io/schedule
#CyberSecurity #BugBounty",1
U.S. resumes talks with #Huawei CFO on resolving criminal charges,2
"Got a 100$ bounty today. 

Thanks to all the pro players who inspire me daily to do more. ",2
"My friends, depression is a real thing, and it's real bad. 
There are instances that help people who feel sad through anonymous chats. If you feel sad and you feel like you can't take it anymore ... please get help <3 There is no shame in that. Much love and stay strong",2
"Introduction to Docker Hacking by 
@NahamSec
. Loved watching it!

https://youtu.be/XiLfEU9wK-w

#infosec #cybersecurity #bugbounty ",1
"#Learn365 Day-261: A different way to attack certain reverse proxies

Blog: https://t.co/5Xa49kjExe?amp=1",1
See more information on the Microsoft OMI CVEs in the MSRC blog post: https://msrc-blog.microsoft.com/2021/09/16/additional-guidance-regarding-omi-vulnerabilities-within-azure-vm-management-extensions/,1
"If you're interested in working on some of the coolest investigations, highly encourage checking out Graphika's opportunities. Also cannot recommend the people enough. https://twitter.com/Graphika_NYC/status/1438956572064067584/photo/1",0
